Titel,Notiz,URL,Kommentar
Olympian City 2,,https://www.google.com/maps/place/Olympian+City+2/data=!4m2!3m1!1s0x340400b96087d32d:0x72891c8a8f671e0d,
Chiesa di San Giuliano,,https://www.google.com/maps/place/Chiesa+di+San+Giuliano/data=!4m2!3m1!1s0x1313e32eb2f2065b:0x1fee041ae83bf938,
Surfcamp Bolsena,,https://www.google.com/maps/place/Surfcamp+Bolsena/data=!4m2!3m1!1s0x13292c0edfa37a39:0x8e91835be1a4ed95,
Sicilia Street Food,,https://www.google.com/maps/place/Sicilia+Street+Food/data=!4m2!3m1!1s0x1313fda78bb4bf83:0x3deeb3f35e308d04,
Dong Xuan Center,,https://www.google.com/maps/place/Dong+Xuan+Center/data=!4m2!3m1!1s0x47a84e9b7781b58f:0xeef6f179464e06f1,
1990 Vegan Living,,https://www.google.com/maps/place/1990+Vegan+Living/data=!4m2!3m1!1s0x47a84e5ed021352f:0xda1c405e07427ae3,
Anhalter Str. 6,,https://www.google.com/maps/place/Anhalter+Str.+6/data=!4m2!3m1!1s0x47a851d288009301:0x10f86e4b80474d1a,
"Via Minosse, 13",,"https://www.google.com/maps/place/Via+Minosse,+13/data=!4m2!3m1!1s0x131a75882c1ee523:0x8310cf72bcd70bfc",
Waldbühne am Hermannsdenkmal,,https://www.google.com/maps/place/Waldb%C3%BChne+am+Hermannsdenkmal/data=!4m2!3m1!1s0x47ba44503761e5ab:0x801a218812ae93c6,
Hong Kong Park,,https://www.google.com/maps/place/Hong+Kong+Park/data=!4m2!3m1!1s0x3404006f65321b69:0x8dfec9dc516355d,
Man Mo Temple,,https://www.google.com/maps/place/Man+Mo+Temple/data=!4m2!3m1!1s0x3404007bf8cd1f91:0x154ab5995382dfe3,
"將軍澳華永大體及無言老師紀念花園 (Garden of Remembrance at Junk Bay Chinese Permanent 
Cemetery)",,https://www.google.com/maps/place/%E5%B0%87%E8%BB%8D%E6%BE%B3%E8%8F%AF%E6%B0%B8%E5%A4%A7%E9%AB%94%E5%8F%8A%E7%84%A1%E8%A8%80%E8%80%81%E5%B8%AB%E7%B4%80%E5%BF%B5%E8%8A%B1%E5%9C%92+(Garden+of+Remembrance+at+Junk+Bay+Chinese+Permanent+%0ACemetery)/data=!4m2!3m1!1s0x340403dd985b8d15:0x669f9b985a977568,
"Pavilion of Absolute Perfection, Nan Lian Garden",,"https://www.google.com/maps/place/Pavilion+of+Absolute+Perfection,+Nan+Lian+Garden/data=!4m2!3m1!1s0x340406c52505cf21:0x8fa5a89f7beccd8f",
2A Argyle St,Market,https://www.google.com/maps/place/2A+Argyle+St/data=!4m2!3m1!1s0x340400b86f276f71:0x26e163a06eb3aab8,
Wellcome,,https://www.google.com/maps/place/Wellcome/data=!4m2!3m1!1s0x340400b0a5a9c773:0x245c21c95ffcb56,
Temple Street Night Market,,https://www.google.com/maps/place/Temple+Street+Night+Market/data=!4m2!3m1!1s0x340400eaf30bc0cd:0xb7dd432faf8433a4,
"Hong Kong Cultural Centre Promenade Bridge, Tsim Sha Tsui",,"https://www.google.com/maps/place/Hong+Kong+Cultural+Centre+Promenade+Bridge,+Tsim+Sha+Tsui/data=!4m2!3m1!1s0x340400f36f0e93ed:0xa0863cdc7f06ac4e",
Henne Strand,,https://www.google.com/maps/place/Henne+Strand/data=!4m2!3m1!1s0x464aef14c73a7f07:0x8aac0266452c54fd,
"52°13'14.6""N 8°00'57.1""E",,"https://www.google.com/maps/search/52.220723,8.015861",
Robins Surfcenter Duemmersee,,https://www.google.com/maps/place/Robins+Surfcenter+Duemmersee/data=!4m2!3m1!1s0x47b753a07fc0d62f:0xdbb6edf915da1953,
"Avalon - Bolsena, VT",,"https://www.google.com/maps/place/Avalon+-+Bolsena,+VT/data=!4m2!3m1!1s0x13292c0e9d001e6b:0xa330d48e1eea863",
"51°45'52.7""N 8°44'04.2""E",,"https://www.google.com/maps/search/51.764638,8.734505",
Asia Supermarkt,,https://www.google.com/maps/place/Asia+Supermarkt/data=!4m2!3m1!1s0x47ba3d1215ec3211:0xd2068c33b7891398,
"Dorsett Mongkok, Hong Kong",,"https://www.google.com/maps/place/Dorsett+Mongkok,+Hong+Kong/data=!4m2!3m1!1s0x0:0x543e8adae9008e50",
