Titel,Notiz,URL,Kommentar
Spengler’s Weinstube,Restaurant von der Familie von Jonas Spengler,https://www.google.com/maps/place/Spengler%E2%80%99s+Weinstube/data=!4m2!3m1!1s0x47bb4724e187998b:0x1bbfa7e95b563b1,
"Parkplatz ""Am Krollbach"" (Sandfangteich)",,https://www.google.com/maps/place/Parkplatz+%22Am+Krollbach%22+(Sandfangteich)/data=!4m2!3m1!1s0x47ba49e133256675:0xa4d7f92822e8184a,
Edo Wonderland Nikko Edomura,,https://www.google.com/maps/place/Edo+Wonderland+Nikko+Edomura/data=!4m2!3m1!1s0x601f9f78c2896c65:0x183456bba94095a0,
Superfly Kassel,,https://www.google.com/maps/place/Superfly+Kassel/data=!4m2!3m1!1s0x47bb3f0ec369d75b:0x8c4b4feeae33f9c9,
Las Vegas,,https://www.google.com/maps/place/Las+Vegas/data=!4m2!3m1!1s0x80beb782a4f57dd1:0x3accd5e6d5b379a3,
Half Moon Bay,,https://www.google.com/maps/place/Half+Moon+Bay/data=!4m2!3m1!1s0x808f0ba50a19cb0b:0x5efd9cc835e79b54,
Rio de Janeiro,,https://www.google.com/maps/place/Rio+de+Janeiro/data=!4m2!3m1!1s0x9bde559108a05b:0x50dc426c672fd24e,
Pichanaki,,https://www.google.com/maps/place/Pichanaki/data=!4m2!3m1!1s0x910a2b7c44be2479:0x6d3e2a98c2641504,
Samaipata,,https://www.google.com/maps/place/Samaipata/data=!4m2!3m1!1s0x93f04383286942e1:0xa95409d6cc310526,
Santa Isabel,,https://www.google.com/maps/place/Santa+Isabel/data=!4m2!3m1!1s0x94ce81efe01073b5:0x5403da6106fb371b,
Solomon Islands,,https://www.google.com/maps/place/Solomon+Islands/data=!4m2!3m1!1s0x68d351e0555009d1:0xb44cc0a017442980,
Queensland,,https://www.google.com/maps/place/Queensland/data=!4m2!3m1!1s0x6bd4df247a62dcfd:0xf5f2d0227612be99,
اقامتگاه ماجرا,,https://www.google.com/maps/place/%D8%A7%D9%82%D8%A7%D9%85%D8%AA%DA%AF%D8%A7%D9%87+%D9%85%D8%A7%D8%AC%D8%B1%D8%A7%E2%80%AD/data=!4m2!3m1!1s0x3ef7658f7d376841:0xe6e566258f9593e8,
Fussballgolf Detmold,,https://www.google.com/maps/place/Fussballgolf+Detmold/data=!4m2!3m1!1s0x47ba44a7da52fc51:0x9d3eb5a8ccf9f8ed,
KitKatClub,,https://www.google.com/maps/place/KitKatClub/data=!4m2!3m1!1s0x47a84e25326bd085:0xdfc6268a626d40c7,
Flipper- und Arcademuseum Seligenstadt,,https://www.google.com/maps/place/Flipper-+und+Arcademuseum+Seligenstadt/data=!4m2!3m1!1s0x47bd3e2800d2b46d:0xb1159c9018585468,
Bled,,https://www.google.com/maps/place/Bled/data=!4m2!3m1!1s0x477a8e1dd7139961:0x400f81c823fec50,
Freiluftkino Friedrichshain,,https://www.google.com/maps/place/Freiluftkino+Friedrichshain/data=!4m2!3m1!1s0x47a84e13ac79fd67:0x667d6cf72e530935,
VEG'D - Amazing Vegan Burgers,,https://www.google.com/maps/place/VEG'D+-+Amazing+Vegan+Burgers/data=!4m2!3m1!1s0x47a84fd55914ca47:0xa90dd04e5754773c,
Berlin Story Bunker,,https://www.google.com/maps/place/Berlin+Story+Bunker/data=!4m2!3m1!1s0x47a851cd367d418b:0x335d9ae196d3fe8b,
East Moon 2,,https://www.google.com/maps/place/East+Moon+2/data=!4m2!3m1!1s0x47a84f370cad428d:0xdc163e7a8b86cda7,
Badeschiff | Freizeit Bad,,https://www.google.com/maps/place/Badeschiff+%7C+Freizeit+Bad/data=!4m2!3m1!1s0x47a84e55b3f927d9:0x1d3d804d4ffad2c8,
MUJI Berlin Hackescher Markt,,https://www.google.com/maps/place/MUJI+Berlin+Hackescher+Markt/data=!4m2!3m1!1s0x47a851e0e586ff29:0x624b7b624350666,
Indian Street Food,,https://www.google.com/maps/place/Indian+Street+Food/data=!4m2!3m1!1s0x47a851b31cc1f949:0xf320a6f3b1d3a7a3,
Open Air Kino Luna im Ravensberger Park,,https://www.google.com/maps/place/Open+Air+Kino+Luna+im+Ravensberger+Park/data=!4m2!3m1!1s0x47ba3d0e57279a9f:0xcf60c98fc32a9ddf,
Hangar II - Legenden am Himmel,,https://www.google.com/maps/place/Hangar+II+-+Legenden+am+Himmel/data=!4m2!3m1!1s0x47bbb673a9e999e7:0x57a169184e58ef6e,
Arminius Market Hall,,https://www.google.com/maps/place/Arminius+Market+Hall/data=!4m2!3m1!1s0x47a8510cc09b7e85:0xc5001a2083ab9b91,
Spreepark,,https://www.google.com/maps/place/Spreepark/data=!4m2!3m1!1s0x47a84f242540c3a3:0xcd9e29eb2b539c51,
Berlin Underworld,,https://www.google.com/maps/place/Berlin+Underworld/data=!4m2!3m1!1s0x47a85221d5b84b4f:0xc08d5a8b81204ba2,
Nikolaiviertel,,https://www.google.com/maps/place/Nikolaiviertel/data=!4m2!3m1!1s0x47a84f04c9d492f9:0x9f1cd6dbe4f9e244,
Gendarmenmarkt,,https://www.google.com/maps/place/Gendarmenmarkt/data=!4m2!3m1!1s0x47a851da6e329be1:0x69ed42f426573790,
Kaiser Wilhelm Memorial Church,,https://www.google.com/maps/place/Kaiser+Wilhelm+Memorial+Church/data=!4m2!3m1!1s0x47a850ff09fc6b77:0x1070dac9e29eb09c,
Museum Island,,https://www.google.com/maps/place/Museum+Island/data=!4m2!3m1!1s0x47a851df3c8bcac7:0x936c396c9e126807,
Prenzlauer Berg,,https://www.google.com/maps/place/Prenzlauer+Berg/data=!4m2!3m1!1s0x47a84e082e42658b:0x52120465b5fabf0,
Hackesche Höfe,,https://www.google.com/maps/place/Hackesche+H%C3%B6fe/data=!4m2!3m1!1s0x47a851e0dda724ef:0xf17c46edce450938,
Kurfürstendamm,,https://www.google.com/maps/place/Kurf%C3%BCrstendamm/data=!4m2!3m1!1s0x47a850e8a82af437:0xc9786de6c60b8170,
Unter den Linden,,https://www.google.com/maps/place/Unter+den+Linden/data=!4m2!3m1!1s0x47a851c4b08614df:0x6f592c283a8f1fe9,
Charlottenburg Palace,,https://www.google.com/maps/place/Charlottenburg+Palace/data=!4m2!3m1!1s0x47a85125754291f3:0x8bb8ae492a79fe1a,
Zoologischer Garten Berlin,,https://www.google.com/maps/place/Zoologischer+Garten+Berlin/data=!4m2!3m1!1s0x47a851aabdc86f69:0x8139eb3ae980ae7e,
Aquarium Berlin,,https://www.google.com/maps/place/Aquarium+Berlin/data=!4m2!3m1!1s0x47a851aabdc86f69:0x6f120666c75e07fe,
