Auf dieser Liste sammele ich alle Orte die ich jemals in meinem Leben besucht habe.

Titel,Notiz,URL,Kommentar
Landhotel Buller,Omas 90. Geburtstag ,https://www.google.com/maps/place/Landhotel+Buller/data=!4m2!3m1!1s0x47b9eeaf11530c27:0x897809f4dccc132f,
Stefan Hoischen / Eggehof,,https://www.google.com/maps/place/Stefan+Hoischen+%2F+Eggehof/data=!4m2!3m1!1s0x47bbad6747d88247:0xefa7d250f4a9877e,
Café Alte Schule Schloss Hamborn,,https://www.google.com/maps/place/Caf%C3%A9+Alte+Schule+Schloss+Hamborn/data=!4m2!3m1!1s0x47bbb31d4e45a6a3:0x8a8ad54d98ed0ca1,
HERMANNS,,https://www.google.com/maps/place/HERMANNS/data=!4m2!3m1!1s0x47ba4368c8715b73:0x45bd3a4dafd9f,
Upper Lascar Row,,https://www.google.com/maps/place/Upper+Lascar+Row/data=!4m2!3m1!1s0x3404007ea8831455:0xf6286ccb02c1d2c0,
Causeway Bay,,https://www.google.com/maps/place/Causeway+Bay/data=!4m2!3m1!1s0x34040055b36dac7f:0x23fa8b1e7120c6a,
Central Ferry Pier No.6,,https://www.google.com/maps/place/Central+Ferry+Pier+No.6/data=!4m2!3m1!1s0x3404006212ac49bd:0x1128fb7b61a9c3b8,
Man Mo Temple,,https://www.google.com/maps/place/Man+Mo+Temple/data=!4m2!3m1!1s0x3404007bf8cd1f91:0x154ab5995382dfe3,
"Jade Market, Jordan",Ist komplett auf Touristen ausgelegt,"https://www.google.com/maps/place/Jade+Market,+Jordan/data=!4m2!3m1!1s0x340400c02258078f:0xfa54e33b8bbee77a",
MOKO,,https://www.google.com/maps/place/MOKO/data=!4m2!3m1!1s0x340400c9224ff90b:0xda570eda36d1eac5,
Wong-Tai-Sin-Tempel,,https://www.google.com/maps/place/Wong-Tai-Sin-Tempel/data=!4m2!3m1!1s0x340406d8c6482c3f:0x35915618b3fff9ce,
Flower Market Rd,,https://www.google.com/maps/place/Flower+Market+Rd/data=!4m2!3m1!1s0x340400c9604fc5bf:0x820e8ce7a1644dd2,
Olympian City 2,,https://www.google.com/maps/place/Olympian+City+2/data=!4m2!3m1!1s0x340400b96087d32d:0x72891c8a8f671e0d,
Wellcome,,https://www.google.com/maps/place/Wellcome/data=!4m2!3m1!1s0x340400b0a5a9c773:0x245c21c95ffcb56,
Wisdom Path,,https://www.google.com/maps/place/Wisdom+Path/data=!4m2!3m1!1s0x3401585c6dcc633d:0xf7815a46fa8596df,
"Grand Hall of Ten Thousand Buddhas, Po Lin Monastery",,"https://www.google.com/maps/place/Grand+Hall+of+Ten+Thousand+Buddhas,+Po+Lin+Monastery/data=!4m2!3m1!1s0x3401585f30125f67:0x6602aa2ad27eafee",
Sham Shui Po,,https://www.google.com/maps/place/Sham+Shui+Po/data=!4m2!3m1!1s0x340400b4a15faa0b:0xe38611e1b9e97f4e,
Tian Tan Buddha,,https://www.google.com/maps/place/Tian+Tan+Buddha/data=!4m2!3m1!1s0x340158f66af64e31:0x4d0fe4264be5f070,
Ngong Ping Village,,https://www.google.com/maps/place/Ngong+Ping+Village/data=!4m2!3m1!1s0x340158f42c6520cd:0xcd2dcec4e36ee14a,
Tal der Tempel,,https://www.google.com/maps/place/Tal+der+Tempel/data=!4m2!3m1!1s0x1310822e2a55170b:0xef605ecc0fd5e5fb,
20B Rue Saint-Denis,,https://www.google.com/maps/place/20B+Rue+Saint-Denis/data=!4m2!3m1!1s0x47e612c01f0c0c47:0xfa3d4e062a6bf821,
