Titel,Notiz,URL,Kommentar
Aussichtsplattform Biggeblick,,https://www.google.com/maps/place/Aussichtsplattform+Biggeblick/data=!4m2!3m1!1s0x47b9549d4d363135:0x9b982db10f25cdb2,
Bled,,https://www.google.com/maps/place/Bled/data=!4m2!3m1!1s0x477a8e1dd7139961:0x400f81c823fec50,
Walchensee,,https://www.google.com/maps/place/Walchensee/data=!4m2!3m1!1s0x479da15ef447ed5f:0xa93f22530415411a,
Salumeria Bonaccorso,,https://www.google.com/maps/place/Salumeria+Bonaccorso/data=!4m2!3m1!1s0x1313e32f22819095:0x54bac408be10273e,
Hohensyburg,,https://www.google.com/maps/place/Hohensyburg/data=!4m2!3m1!1s0x47b93d0c9aa3e221:0x9161a4eb27150f0f,
Tiger & Turtle,,https://www.google.com/maps/place/Tiger+%26+Turtle/data=!4m2!3m1!1s0x47b8b8e2edbfce4b:0xca90d9ccf3f2dc50,
NATO Rampe,,https://www.google.com/maps/place/NATO+Rampe/data=!4m2!3m1!1s0x47b895e24372fbf7:0xaa79ee49bb35ada6,
Colliery Schlägel & Eisen,,https://www.google.com/maps/place/Colliery+Schl%C3%A4gel+%26+Eisen/data=!4m2!3m1!1s0x47b8e4e3bab12d17:0x67a015ead8edb44,
UNESCO-Welterbe Zollverein,,https://www.google.com/maps/place/UNESCO-Welterbe+Zollverein/data=!4m2!3m1!1s0x47b8e7eee0699f89:0x78f558bfb85b6c1a,
Andernach Geyser,,https://www.google.com/maps/place/Andernach+Geyser/data=!4m2!3m1!1s0x47be6003ae0fe53f:0xd3d4a125e5271b14,
Wadden Sea,,https://www.google.com/maps/place/Wadden+Sea/data=!4m2!3m1!1s0x47c8ffd38d1d14b1:0xce4fd6715fa7c038,
Triberg Waterfalls,,https://www.google.com/maps/place/Triberg+Waterfalls/data=!4m2!3m1!1s0x4790c2f5f1435c49:0xecc197b03ff8ef0,
Lange Anna,,https://www.google.com/maps/place/Lange+Anna/data=!4m2!3m1!1s0x47b5b6087840ef5f:0x2c2dbb135e16ca16,
Königsstuhl,,https://www.google.com/maps/place/K%C3%B6nigsstuhl/data=!4m2!3m1!1s0x47ab4825c001e807:0x334fdd6db94c51b0,
Classic Village Viewpoint / Postcard Angle,,https://www.google.com/maps/place/Classic+Village+Viewpoint+%2F+Postcard+Angle/data=!4m2!3m1!1s0x47713612846fe77d:0xde080447d6d64c5d,
Ruine Falkenburg,,https://www.google.com/maps/place/Ruine+Falkenburg/data=!4m2!3m1!1s0x47ba45470db7475d:0x67ca4e8b0a8a32d,
Horizontobservatorium,,https://www.google.com/maps/place/Horizontobservatorium/data=!4m2!3m1!1s0x47b8e3f2edef1191:0xc821032070c189f5,
Sonnenuhr,,https://www.google.com/maps/place/Sonnenuhr/data=!4m2!3m1!1s0x47b8e3f20a26ace1:0xe0f468bf4b51af83,
Drachenbrücke,,https://www.google.com/maps/place/Drachenbr%C3%BCcke/data=!4m2!3m1!1s0x47b8e3ec3f485a59:0xbb54f2283e2665b5,
Tetraeder,,https://www.google.com/maps/place/Tetraeder/data=!4m2!3m1!1s0x47b8e9739d09d6ff:0xf136ae44968e98d5,
Blautopf,,https://www.google.com/maps/place/Blautopf/data=!4m2!3m1!1s0x47997bd6f92dc16b:0x76eaab2c9bd3eb22,
Tegernsee,,https://www.google.com/maps/place/Tegernsee/data=!4m2!3m1!1s0x479d8c219a91bd33:0x41d25a40937a060,
Zugspitze,,https://www.google.com/maps/place/Zugspitze/data=!4m2!3m1!1s0x479d02ee5107876d:0x34e257ebca223d97,
Kaunertal,,https://www.google.com/maps/place/Kaunertal/data=!4m2!3m1!1s0x479cd546de988055:0xd91a230c688b9f1,
Eifel National Park,,https://www.google.com/maps/place/Eifel+National+Park/data=!4m2!3m1!1s0x47bf70ae368298c7:0xa4dda65e74a90b8e,
Saarschleife,,https://www.google.com/maps/place/Saarschleife/data=!4m2!3m1!1s0x479512aa37e4afd5:0x992353d85df99fe3,
