Titel,Notiz,URL,Kommentar
Urologische Praxis am Nordbahnhof,,https://www.google.com/maps/place/Urologische+Praxis+am+Nordbahnhof/data=!4m2!3m1!1s0x47ba4dc681df0c61:0xdf9225348848a74d,
Dr. med. Katrin Rüenauver Fachärztin für Allgem. Med.,,https://www.google.com/maps/place/Dr.+med.+Katrin+R%C3%BCenauver+Fach%C3%A4rztin+f%C3%BCr+Allgem.+Med./data=!4m2!3m1!1s0x47ba4cbd24db21bb:0x51add62c9de40017,
Alfa Chirurgie - Abdallah Alfalouji - Dr. med (syr.) Bassam Daboul,,https://www.google.com/maps/place/Alfa+Chirurgie+-+Abdallah+Alfalouji+-+Dr.+med+(syr.)+Bassam+Daboul/data=!4m2!3m1!1s0x47ba357cfc52c1b1:0x11f14563f7977df,
Hausärzte im Nordcube,,https://www.google.com/maps/place/Haus%C3%A4rzte+im+Nordcube/data=!4m2!3m1!1s0x47ba4c96da34dc7d:0xd909c9d5095aec55,
Herr Jürgen Müller,,https://www.google.com/maps/place/Herr+J%C3%BCrgen+M%C3%BCller/data=!4m2!3m1!1s0x47ba4cc01b07b455:0x8b7970c9992131fa,
Hausärztin Dr. med. Alina Sandu,,https://www.google.com/maps/place/Haus%C3%A4rztin+Dr.+med.+Alina+Sandu/data=!4m2!3m1!1s0x47ba4d12b965fb3d:0x7a97065c19f7f05b,
Hussam Eddin Yasin,,https://www.google.com/maps/place/Hussam+Eddin+Yasin/data=!4m2!3m1!1s0x47ba4d7a566e9ab7:0xd0c7bf78481c44f9,
Gemeinschaftspraxis Warburger Straße,,https://www.google.com/maps/place/Gemeinschaftspraxis+Warburger+Stra%C3%9Fe/data=!4m2!3m1!1s0x47ba4cc315858021:0x86ffe8a3b10179d1,
Frau Sonja Heine,,https://www.google.com/maps/place/Frau+Sonja+Heine/data=!4m2!3m1!1s0x47ba4ca2b9b00b57:0xece05f52215d5fa,
Dr. Gabie Issa,,https://www.google.com/maps/place/Dr.+Gabie+Issa/data=!4m2!3m1!1s0x47ba4cbd2dbd67bd:0xd950c4979794ddd0,
Specialist Center for Urology,,https://www.google.com/maps/place/Specialist+Center+for+Urology/data=!4m2!3m1!1s0x417022eb47160321:0x14d6decb840a5068,
